MAC Id,Login Time,Session Time,Download,Upload
xx:xx:xx:xx:xx:xx,19-06-25 6:28,0:27:19,362,30
xx:xx:xx:xx:xx:xx,19-06-25 6:00,0:29:38,660,57
xx:xx:xx:xx:xx:xx,19-06-25 5:31,0:27:49,406,40
xx:xx:xx:xx:xx:xx,19-06-25 5:00,0:11:32,110,8
xx:xx:xx:xx:xx:xx,19-06-25 4:48,0:30:26,705,28
xx:xx:xx:xx:xx:xx,19-06-25 4:15,0:22:55,364,25
xx:xx:xx:xx:xx:xx,19-06-25 3:52,0:27:45,3799,142
xx:xx:xx:xx:xx:xx,19-06-25 3:24,0:31:56,2282,37
xx:xx:xx:xx:xx:xx,19-06-25 2:52,0:31:31,1042,23
xx:xx:xx:xx:xx:xx,19-06-25 2:21,0:31:59,327,11
xx:xx:xx:xx:xx:xx,19-06-25 1:49,0:28:31,2,1
xx:xx:xx:xx:xx:xx,19-06-25 1:20,0:29:35,5,1
xx:xx:xx:xx:xx:xx,19-06-25 0:51,0:27:28,6,1
xx:xx:xx:xx:xx:xx,19-06-25 0:23,0:28:15,73,3
xx:xx:xx:xx:xx:xx,18-06-25 23:55,0:28:26,496,19
xx:xx:xx:xx:xx:xx,18-06-25 23:26,0:31:35,715,28
xx:xx:xx:xx:xx:xx,18-06-25 22:55,0:30:36,282,72
xx:xx:xx:xx:xx:xx,18-06-25 22:24,0:30:16,131,5
xx:xx:xx:xx:xx:xx,18-06-25 21:54,0:32:41,67,7
xx:xx:xx:xx:xx:xx,18-06-25 21:21,0:31:02,44,9
xx:xx:xx:xx:xx:xx,18-06-25 20:50,0:27:13,85,4
xx:xx:xx:xx:xx:xx,18-06-25 20:23,0:28:39,57,3
xx:xx:xx:xx:xx:xx,18-06-25 19:54,0:27:48,382,21
xx:xx:xx:xx:xx:xx,18-06-25 19:27,0:31:39,355,50
xx:xx:xx:xx:xx:xx,18-06-25 18:52,0:01:33,4,1
xx:xx:xx:xx:xx:xx,18-06-25 18:51,0:30:26,262,16
xx:xx:xx:xx:xx:xx,18-06-25 18:20,0:32:43,368,30
xx:xx:xx:xx:xx:xx,18-06-25 17:48,0:27:45,144,8
xx:xx:xx:xx:xx:xx,18-06-25 17:20,0:29:38,899,25
xx:xx:xx:xx:xx:xx,18-06-25 16:50,0:27:33,1305,45
xx:xx:xx:xx:xx:xx,18-06-25 16:23,0:30:13,585,51
xx:xx:xx:xx:xx:xx,18-06-25 15:53,0:27:07,534,70
xx:xx:xx:xx:xx:xx,18-06-25 15:25,0:32:45,12370,242
xx:xx:xx:xx:xx:xx,18-06-25 14:53,0:28:47,4181,94
